,fluxes
ACALD,0.0
ACALDt,0.0
ACKr,0.0
ACONTa,6.007249575350337
ACONTb,6.007249575350338
ACt2r,0.0
ADK1,0.0
AKGDH,5.064375661482093
AKGt2r,0.0
ALCD2x,0.0
ATPM,8.39
ATPS4r,45.514009774517476
Biomass_Ecoli_core,0.8739215069684305
CO2t,-22.80983331020497
CS,6.007249575350337
CYTBD,43.59898531199753
D_LACt2,0.0
ENO,14.716139568742836
ETOHt2r,0.0
EX_ac_e,0.0
EX_acald_e,0.0
EX_akg_e,0.0
EX_co2_e,22.80983331020497
EX_etoh_e,0.0
EX_for_e,0.0
EX_fru_e,0.0
EX_fum_e,0.0
EX_glc__D_e,-10.0
EX_gln__L_e,0.0
EX_glu__L_e,0.0
EX_h_e,17.530865429786648
EX_h2o_e,29.175827135565832
EX_lac__D_e,0.0
EX_mal__L_e,0.0
EX_nh4_e,-4.765319193197457
EX_o2_e,-21.799492655998762
EX_pi_e,-3.214895047684796
EX_pyr_e,0.0
EX_succ_e,0.0
FBA,7.477381962160286
FBP,0.0
FORt2,0.0
FORti,0.0
FRD7,0.0
FRUpts2,0.0
FUM,5.064375661482093
FUMt2_2,0.0
G6PDH2r,4.959984944574654
GAPD,16.023526143167608
GLCpts,10.000000000000002
GLNS,0.22346172933182762
GLNabc,0.0
GLUDy,-4.54185746386563
GLUN,0.0
GLUSy,0.0
GLUt2r,0.0
GND,4.9599849445746536
H2Ot,-29.175827135565832
ICDHyr,6.007249575350338
ICL,0.0
LDH_D,0.0
MALS,0.0
MALt2_2,0.0
MDH,5.064375661482093
ME1,0.0
ME2,0.0
NADH16,38.534609650515435
NADTRHD,0.0
NH4t,4.765319193197458
O2t,21.799492655998762
PDH,9.28253259916662
PFK,7.477381962160286
PFL,0.0
PGI,4.860861146496819
PGK,-16.02352614316761
PGL,4.959984944574654
PGM,-14.716139568742836
PIt2r,3.214895047684796
PPC,2.5043094703687325
PPCK,0.0
PPS,0.0
PTAr,0.0
PYK,1.7581774441067881
PYRt2,0.0
RPE,2.678481850507527
RPI,-2.2815030940671264
SUCCt2_2,0.0
SUCCt3,0.0
SUCDi,5.064375661482094
SUCOAS,-5.064375661482094
TALA,1.4969837572615654
THD2,0.0
TKT1,1.4969837572615654
TKT2,1.181498093245962
TPI,7.477381962160286
